"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"13/12/2023 00:00:00 - 13/12/2023 01:00:00","BZN|GR","Without Sequence","90.00","",""
"13/12/2023 01:00:00 - 13/12/2023 02:00:00","BZN|GR","Without Sequence","87.10","",""
"13/12/2023 02:00:00 - 13/12/2023 03:00:00","BZN|GR","Without Sequence","80.00","",""
"13/12/2023 03:00:00 - 13/12/2023 04:00:00","BZN|GR","Without Sequence","80.32","",""
"13/12/2023 04:00:00 - 13/12/2023 05:00:00","BZN|GR","Without Sequence","95.00","",""
"13/12/2023 05:00:00 - 13/12/2023 06:00:00","BZN|GR","Without Sequence","113.06","",""
"13/12/2023 06:00:00 - 13/12/2023 07:00:00","BZN|GR","Without Sequence","139.47","",""
"13/12/2023 07:00:00 - 13/12/2023 08:00:00","BZN|GR","Without Sequence","131.65","",""
"13/12/2023 08:00:00 - 13/12/2023 09:00:00","BZN|GR","Without Sequence","125.74","",""
"13/12/2023 09:00:00 - 13/12/2023 10:00:00","BZN|GR","Without Sequence","122.00","",""
"13/12/2023 10:00:00 - 13/12/2023 11:00:00","BZN|GR","Without Sequence","115.33","",""
"13/12/2023 11:00:00 - 13/12/2023 12:00:00","BZN|GR","Without Sequence","114.60","",""
"13/12/2023 12:00:00 - 13/12/2023 13:00:00","BZN|GR","Without Sequence","112.06","",""
"13/12/2023 13:00:00 - 13/12/2023 14:00:00","BZN|GR","Without Sequence","114.00","",""
"13/12/2023 14:00:00 - 13/12/2023 15:00:00","BZN|GR","Without Sequence","117.50","",""
"13/12/2023 15:00:00 - 13/12/2023 16:00:00","BZN|GR","Without Sequence","119.14","",""
"13/12/2023 16:00:00 - 13/12/2023 17:00:00","BZN|GR","Without Sequence","122.01","",""
"13/12/2023 17:00:00 - 13/12/2023 18:00:00","BZN|GR","Without Sequence","122.08","",""
"13/12/2023 18:00:00 - 13/12/2023 19:00:00","BZN|GR","Without Sequence","122.01","",""
"13/12/2023 19:00:00 - 13/12/2023 20:00:00","BZN|GR","Without Sequence","117.46","",""
"13/12/2023 20:00:00 - 13/12/2023 21:00:00","BZN|GR","Without Sequence","104.36","",""
"13/12/2023 21:00:00 - 13/12/2023 22:00:00","BZN|GR","Without Sequence","90.88","",""
"13/12/2023 22:00:00 - 13/12/2023 23:00:00","BZN|GR","Without Sequence","92.35","",""
"13/12/2023 23:00:00 - 14/12/2023 00:00:00","BZN|GR","Without Sequence","84.25","",""
