"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"25/01/2024 00:00:00 - 25/01/2024 01:00:00","BZN|GR","Without Sequence","80.34","",""
"25/01/2024 01:00:00 - 25/01/2024 02:00:00","BZN|GR","Without Sequence","72.23","",""
"25/01/2024 02:00:00 - 25/01/2024 03:00:00","BZN|GR","Without Sequence","69.60","",""
"25/01/2024 03:00:00 - 25/01/2024 04:00:00","BZN|GR","Without Sequence","66.90","",""
"25/01/2024 04:00:00 - 25/01/2024 05:00:00","BZN|GR","Without Sequence","69.76","",""
"25/01/2024 05:00:00 - 25/01/2024 06:00:00","BZN|GR","Without Sequence","146.28","",""
"25/01/2024 06:00:00 - 25/01/2024 07:00:00","BZN|GR","Without Sequence","122.01","",""
"25/01/2024 07:00:00 - 25/01/2024 08:00:00","BZN|GR","Without Sequence","127.94","",""
"25/01/2024 08:00:00 - 25/01/2024 09:00:00","BZN|GR","Without Sequence","124.23","",""
"25/01/2024 09:00:00 - 25/01/2024 10:00:00","BZN|GR","Without Sequence","102.40","",""
"25/01/2024 10:00:00 - 25/01/2024 11:00:00","BZN|GR","Without Sequence","88.57","",""
"25/01/2024 11:00:00 - 25/01/2024 12:00:00","BZN|GR","Without Sequence","78.66","",""
"25/01/2024 12:00:00 - 25/01/2024 13:00:00","BZN|GR","Without Sequence","74.95","",""
"25/01/2024 13:00:00 - 25/01/2024 14:00:00","BZN|GR","Without Sequence","78.10","",""
"25/01/2024 14:00:00 - 25/01/2024 15:00:00","BZN|GR","Without Sequence","92.00","",""
"25/01/2024 15:00:00 - 25/01/2024 16:00:00","BZN|GR","Without Sequence","99.88","",""
"25/01/2024 16:00:00 - 25/01/2024 17:00:00","BZN|GR","Without Sequence","108.56","",""
"25/01/2024 17:00:00 - 25/01/2024 18:00:00","BZN|GR","Without Sequence","126.56","",""
"25/01/2024 18:00:00 - 25/01/2024 19:00:00","BZN|GR","Without Sequence","122.00","",""
"25/01/2024 19:00:00 - 25/01/2024 20:00:00","BZN|GR","Without Sequence","120.00","",""
"25/01/2024 20:00:00 - 25/01/2024 21:00:00","BZN|GR","Without Sequence","106.13","",""
"25/01/2024 21:00:00 - 25/01/2024 22:00:00","BZN|GR","Without Sequence","99.74","",""
"25/01/2024 22:00:00 - 25/01/2024 23:00:00","BZN|GR","Without Sequence","94.00","",""
"25/01/2024 23:00:00 - 26/01/2024 00:00:00","BZN|GR","Without Sequence","89.49","",""
